title,genre,rating,description
Inception,Sci-Fi,8.8,A skilled thief enters dreams to steal secrets.
Interstellar,Sci-Fi,8.6,A space journey to save humanity.
The Dark Knight,Action,9.0,Batman faces the Joker.
Titanic,Romance,7.9,A tragic love story on a ship.
Avengers,Action,8.0,Superheroes unite to save Earth.
The Notebook,Romance,7.8,A romantic drama across years.
Gladiator,Action,8.5,A Roman general seeks revenge.
Joker,Drama,8.4,The rise of a troubled comedian.
Frozen,Animation,7.4,A magical journey of two sisters.
Toy Story,Animation,8.3,Toys come to life secretly.